host_time_unix,host_monotonic_s,phase,watts
1788739312.8556461,2219554.758389089,active:t08:vision_ccd_to_fusion,34.9
1788739312.8657138,2219554.768456563,active:t08:vision_ccd_to_fusion,87.6
1788739312.87578,2219554.778522898,active:t08:vision_ccd_to_fusion,87.6
1788739312.8858445,2219554.788587307,active:t08:vision_ccd_to_fusion,87.6
1788739312.8959131,2219554.798655814,active:t08:vision_ccd_to_fusion,87.6
1788739312.9059825,2219554.808725246,active:t08:vision_ccd_to_fusion,87.6
1788739312.9160504,2219554.818793212,active:t08:vision_ccd_to_fusion,87.6
1788739312.9261131,2219554.828855753,active:t08:vision_ccd_to_fusion,87.6
1788739312.9361796,2219554.838922271,active:t08:vision_ccd_to_fusion,87.6
1788739312.9463027,2219554.849046749,active:t08:vision_ccd_to_fusion,87.6
1788739312.9563217,2219554.859064589,active:t08:vision_ccd_to_fusion,87.6
1788739312.9663844,2219554.869127314,active:t08:vision_ccd_to_fusion,87.6
1788739312.9764497,2219554.879192579,active:t08:vision_ccd_to_fusion,87.6
1788739312.9865153,2219554.889257934,active:t08:vision_ccd_to_fusion,87.6
1788739312.9965851,2219554.899327969,active:t08:vision_ccd_to_fusion,87.6
1788739313.00665,2219554.90939266,active:t08:vision_ccd_to_fusion,87.6
1788739313.0167155,2219554.919458403,active:t08:vision_ccd_to_fusion,87.6
1788739313.0267842,2219554.929526976,active:t08:vision_ccd_to_fusion,87.6
1788739313.0368516,2219554.939594345,active:t08:vision_ccd_to_fusion,87.6
1788739313.0469353,2219554.94967785,active:t08:vision_ccd_to_fusion,87.6
1788739313.056983,2219554.95972593,active:t08:vision_ccd_to_fusion,87.6
1788739313.0670533,2219554.969796214,active:t08:vision_ccd_to_fusion,87.6
1788739313.077118,2219554.979860598,active:t08:vision_ccd_to_fusion,87.6
1788739313.0871913,2219554.989933898,active:t08:vision_ccd_to_fusion,87.6
1788739313.0972521,2219554.999994692,active:t08:vision_ccd_to_fusion,87.6
1788739313.1073203,2219555.01006317,active:t08:vision_ccd_to_fusion,87.6
1788739313.1173904,2219555.020133098,active:t08:vision_ccd_to_fusion,87.6
1788739313.1274612,2219555.030203911,active:t08:vision_ccd_to_fusion,87.6
1788739313.1375225,2219555.040265113,active:t08:vision_ccd_to_fusion,87.6
1788739313.1475928,2219555.050335394,active:t08:vision_ccd_to_fusion,87.6
1788739313.1576614,2219555.060404088,active:t08:vision_ccd_to_fusion,87.6
1788739313.1677294,2219555.070472126,active:t08:vision_ccd_to_fusion,87.6
1788739313.1778014,2219555.080544278,active:t08:vision_ccd_to_fusion,87.6
1788739313.187863,2219555.090605787,active:t08:vision_ccd_to_fusion,87.6
1788739313.1979308,2219555.100673374,active:t08:vision_ccd_to_fusion,87.6
1788739313.2079997,2219555.110742515,active:t08:vision_ccd_to_fusion,87.6
1788739313.2180681,2219555.120810831,active:t08:vision_ccd_to_fusion,87.6
1788739313.228137,2219555.130879853,active:t08:vision_ccd_to_fusion,87.6
1788739313.238202,2219555.140944724,active:t08:vision_ccd_to_fusion,87.6
1788739313.2482681,2219555.151010678,active:t08:vision_ccd_to_fusion,87.6
1788739313.2583382,2219555.161081081,active:t08:vision_ccd_to_fusion,87.6
1788739313.268423,2219555.171165976,active:t08:vision_ccd_to_fusion,87.6
1788739313.2784767,2219555.181219587,active:t08:vision_ccd_to_fusion,87.6
1788739313.2885396,2219555.191282266,active:t08:vision_ccd_to_fusion,87.6
1788739313.2986104,2219555.201353065,active:t08:vision_ccd_to_fusion,87.6
1788739313.3086746,2219555.21141743,active:t08:vision_ccd_to_fusion,87.6
1788739313.318741,2219555.221483667,active:t08:vision_ccd_to_fusion,87.6
1788739313.3288112,2219555.231553904,active:t08:vision_ccd_to_fusion,87.6
1788739313.3388822,2219555.241624961,active:t08:vision_ccd_to_fusion,87.6
1788739313.3489463,2219555.25168916,active:t08:vision_ccd_to_fusion,87.6
1788739313.3590152,2219555.261757931,active:t08:vision_ccd_to_fusion,87.6
1788739313.3690846,2219555.271827402,active:t08:vision_ccd_to_fusion,102.83
1788739313.3791554,2219555.281898021,active:t08:vision_ccd_to_fusion,102.83
1788739313.3892245,2219555.291967344,active:t08:vision_ccd_to_fusion,102.83
1788739313.399303,2219555.302045886,active:t08:vision_ccd_to_fusion,102.83
1788739313.4094238,2219555.312166689,active:t08:vision_ccd_to_fusion,102.83
1788739313.419472,2219555.322214714,active:t08:vision_ccd_to_fusion,102.83
1788739313.4295352,2219555.332278052,active:t08:vision_ccd_to_fusion,102.83
1788739313.4396026,2219555.342345459,active:t08:vision_ccd_to_fusion,102.83
1788739313.4496717,2219555.352414267,active:t08:vision_ccd_to_fusion,102.83
1788739313.45974,2219555.36248264,active:t08:vision_ccd_to_fusion,102.83
1788739313.469807,2219555.372549476,active:t08:vision_ccd_to_fusion,102.83
1788739313.4798763,2219555.382619076,active:t08:vision_ccd_to_fusion,102.83
1788739313.489949,2219555.392691769,active:t08:vision_ccd_to_fusion,102.83
1788739313.5000224,2219555.4027651,active:t08:vision_ccd_to_fusion,102.83
1788739313.510088,2219555.412830623,active:t08:vision_ccd_to_fusion,102.83
1788739313.5201535,2219555.422896405,active:t08:vision_ccd_to_fusion,102.83
1788739313.5302742,2219555.433016772,active:t08:vision_ccd_to_fusion,102.83
1788739313.5403562,2219555.44309875,active:t08:vision_ccd_to_fusion,102.83
1788739313.5504289,2219555.45317155,active:t08:vision_ccd_to_fusion,102.83
1788739313.560496,2219555.463239002,active:t08:vision_ccd_to_fusion,102.83
1788739313.5705662,2219555.473308808,active:t08:vision_ccd_to_fusion,102.83
1788739313.5806372,2219555.483379939,active:t08:vision_ccd_to_fusion,102.83
1788739313.5907025,2219555.493445242,active:t08:vision_ccd_to_fusion,102.83
1788739313.600772,2219555.503514671,active:t08:vision_ccd_to_fusion,102.83
1788739313.6108408,2219555.513583544,active:t08:vision_ccd_to_fusion,102.83
1788739313.6209104,2219555.523653043,active:t08:vision_ccd_to_fusion,102.83
1788739313.6309786,2219555.533721225,active:t08:vision_ccd_to_fusion,102.83
1788739313.641049,2219555.543791585,active:t08:vision_ccd_to_fusion,102.83
1788739313.6512973,2219555.554040175,active:t08:vision_ccd_to_fusion,102.83
1788739313.6613822,2219555.564125107,active:t08:vision_ccd_to_fusion,102.83
1788739313.671377,2219555.574119741,active:t08:vision_ccd_to_fusion,102.83
1788739313.6814427,2219555.584185516,active:t08:vision_ccd_to_fusion,102.83
1788739313.691514,2219555.594256887,active:t08:vision_ccd_to_fusion,102.83
1788739313.701591,2219555.604333715,active:t08:vision_ccd_to_fusion,102.83
1788739313.7116482,2219555.614391022,active:t08:vision_ccd_to_fusion,102.83
1788739313.7217295,2219555.624472356,active:t08:vision_ccd_to_fusion,102.83
1788739313.7317848,2219555.634527531,active:t08:vision_ccd_to_fusion,102.83
1788739313.7418532,2219555.644595968,active:t08:vision_ccd_to_fusion,102.83
1788739313.7519248,2219555.654667544,active:t08:vision_ccd_to_fusion,102.83
1788739313.761989,2219555.664731844,active:t08:vision_ccd_to_fusion,102.83
1788739313.7720578,2219555.674800715,active:t08:vision_ccd_to_fusion,102.83
1788739313.7821252,2219555.684868116,active:t08:vision_ccd_to_fusion,102.83
1788739313.7922,2219555.694942893,active:t08:vision_ccd_to_fusion,102.83
1788739313.802272,2219555.705014728,active:t08:vision_ccd_to_fusion,102.83
1788739313.8123367,2219555.715079475,active:t08:vision_ccd_to_fusion,102.83
1788739313.8224053,2219555.725148078,active:t08:vision_ccd_to_fusion,102.83
1788739313.8324745,2219555.735217104,active:t08:vision_ccd_to_fusion,102.83
1788739313.842542,2219555.745284436,active:t08:vision_ccd_to_fusion,102.83
