dataset,method,intervention,top1_percent,top3_percent,top1_change_pp
caltech,qwen_vision_lora,lora_disabled_same_decoder,77.49999761581421,93.50000023841858,-2.5000035762786865
caltech,qwen_vision_lora,remove_optical,53.50000262260437,74.50000047683716,-26.499998569488525
caltech,qwen_vision_lora,remove_electronic,54.00000214576721,73.50000143051147,-25.999999046325684
caltech,qwen_vision_lora,remove_vision_optical,69.49999928474426,87.99999952316284,-10.500001907348633
caltech,qwen_vision_lora,remove_language_optical,58.99999737739563,80.0000011920929,-21.000003814697266
caltech,qwen_vision_global_lora,initial_experts,65.49999713897705,85.00000238418579,-15.000003576278687
caltech,qwen_vision_global_lora,flat_pi_experts,65.49999713897705,85.00000238418579,-15.000003576278687
caltech,qwen_vision_global_lora,lora_disabled_same_decoder,79.00000214576721,93.50000023841858,-1.4999985694885254
caltech,qwen_vision_global_lora,remove_optical,55.50000071525574,79.00000214576721,-25.0
caltech,qwen_vision_global_lora,remove_electronic,49.50000047683716,72.50000238418579,-31.00000023841858
caltech,qwen_vision_global_lora,remove_vision_optical,72.50000238418579,88.49999904632568,-7.999998331069946
caltech,qwen_vision_global_lora,remove_language_optical,66.50000214576721,88.99999856948853,-13.999998569488525
cifar,direct,initial_experts,37.40000128746033,70.89999914169312,-13.199996948242188
cifar,direct,flat_pi_experts,37.40000128746033,70.89999914169312,-13.199996948242188
cifar,direct,remove_optical,25.600001215934753,50.90000033378601,-24.99999701976776
cifar,direct,remove_electronic,28.700000047683716,59.20000076293945,-21.8999981880188
cifar,direct,remove_vision_optical,40.50000011920929,70.39999961853027,-10.099998116493225
cifar,direct,remove_language_optical,25.600001215934753,55.50000071525574,-24.99999701976776
cifar,clip_vision_lora,initial_experts,48.30000102519989,78.70000004768372,-0.09999871253967285
cifar,clip_vision_lora,flat_pi_experts,48.30000102519989,78.70000004768372,-0.09999871253967285
cifar,clip_vision_lora,lora_disabled_same_decoder,48.69999885559082,79.29999828338623,0.2999991178512573
cifar,clip_vision_lora,remove_optical,23.000000417232513,49.59999918937683,-25.39999932050705
cifar,clip_vision_lora,remove_electronic,30.000001192092896,60.50000190734863,-18.399998545646667
cifar,clip_vision_lora,remove_vision_optical,40.50000011920929,71.39999866485596,-7.899999618530273
cifar,clip_vision_lora,remove_language_optical,29.499998688697815,59.700000286102295,-18.900001049041748
cifar,qwen_vision_pooled_lora,initial_experts,46.90000116825104,79.79999780654907,-3.0999988317489624
cifar,qwen_vision_pooled_lora,flat_pi_experts,46.90000116825104,79.79999780654907,-3.0999988317489624
cifar,qwen_vision_pooled_lora,lora_disabled_same_decoder,49.90000128746033,81.19999766349792,-0.09999871253967285
cifar,qwen_vision_pooled_lora,remove_optical,29.399999976158142,53.60000133514404,-20.600000023841858
cifar,qwen_vision_pooled_lora,remove_electronic,29.600000381469727,63.499999046325684,-20.399999618530273
cifar,qwen_vision_pooled_lora,remove_vision_optical,43.00000071525574,75.09999871253967,-6.999999284744263
cifar,qwen_vision_pooled_lora,remove_language_optical,33.30000042915344,61.59999966621399,-16.699999570846558
cifar,qwen_vision_lora,initial_experts,46.39999866485596,79.50000166893005,-3.50000262260437
cifar,qwen_vision_lora,flat_pi_experts,46.39999866485596,79.50000166893005,-3.50000262260437
cifar,qwen_vision_lora,lora_disabled_same_decoder,49.90000128746033,79.79999780654907,0.0
cifar,qwen_vision_lora,remove_optical,27.000001072883606,54.29999828338623,-22.90000021457672
cifar,qwen_vision_lora,remove_electronic,28.700000047683716,60.19999980926514,-21.20000123977661
