dataset,method,stage,epochs,gpu_uuid,gpu_model,run_foreign_gpu_pids,train_seconds_mean,epoch_seconds_mean
cifar,qwen_vision_lora,experts,4,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],108.24652496911585,115.35911358334124
cifar,qwen_vision_lora,optics,8,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],136.7237041639164,143.8558770827949
cifar,qwen_vision_lora,joint,18,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],140.00289202564292,146.7285736873746
cifar,qwen_vision_global_lora,experts,4,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[4021888],130.18445354141295,138.9664318151772
cifar,qwen_vision_global_lora,optics,8,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[4021888],148.57106181886047,157.0530474903062
cifar,qwen_vision_global_lora,joint,18,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[4021888],150.80046139326362,159.04186851448483
imagenette,direct,experts,4,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],45.69078857637942,52.4844426214695
imagenette,direct,optics,8,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],60.25570381246507,66.21533204708248
imagenette,direct,joint,18,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],61.88282839208841,67.57691556339462
imagenette,clip_vision_lora,experts,4,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],51.052425971254706,57.67296710424125
imagenette,clip_vision_lora,optics,8,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],66.16594255529344,72.40552919451147
imagenette,clip_vision_lora,joint,18,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],76.04938270896673,82.70241280976269
imagenette,qwen_vision_pooled_lora,experts,4,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],94.29377303645015,102.12145361490548
imagenette,qwen_vision_pooled_lora,optics,8,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],106.96815190277994,114.28828221652657
imagenette,qwen_vision_pooled_lora,joint,18,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],134.86847115308046,143.63533474463554
imagenette,qwen_vision_lora,experts,4,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,"[3593969, 3614251, 3832278]",124.38264445215464,140.33293441683054
imagenette,qwen_vision_lora,optics,8,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,"[3593969, 3614251, 3832278]",147.9157250188291,160.0770093705505
imagenette,qwen_vision_lora,joint,18,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,"[3593969, 3614251, 3832278]",152.77591715504727,163.66503502056003
imagenette,qwen_vision_global_lora,experts,4,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],116.26824549585581,126.83334010466933
imagenette,qwen_vision_global_lora,optics,8,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],125.34156151302159,133.81394027918577
imagenette,qwen_vision_global_lora,joint,18,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,[],125.12253227084875,132.96756961320838
