batch_index,batch_size_videos,model_boundary_cuda_ms,preprocessing_ms,host_to_device_ms,component_sum_decode_processor_transfer_model_ms,vision_block0_input_shape,language_block0_input_shape
37,2,60.63411331176758,1097.3027646541595,10.919705033302307,1168.8565829992294,"[3136, 1024]","[2, 446, 2048]"
38,2,61.032447814941406,797.1631214022636,11.006563901901245,869.2021331191063,"[3136, 1024]","[2, 446, 2048]"
39,2,61.014015197753906,882.7153295278549,11.703334748744965,955.4326794743538,"[3136, 1024]","[2, 446, 2048]"
40,2,60.80204772949219,1287.3466163873672,10.929316282272339,1359.0779803991318,"[3136, 1024]","[2, 446, 2048]"
41,2,60.61056137084961,1483.6696609854698,10.945461690425873,1555.2256840467453,"[3136, 1024]","[2, 446, 2048]"
42,2,60.7088623046875,956.0475945472717,11.556006968021393,1028.3124638199806,"[3136, 1024]","[2, 446, 2048]"
43,2,60.57881546020508,879.3823346495628,11.517643928527832,951.4787940382957,"[3136, 1024]","[2, 446, 2048]"
44,2,63.7655029296875,1197.1360370516777,10.425947606563568,1271.3274875879288,"[3136, 1024]","[2, 446, 2048]"
45,2,61.69599914550781,1361.350066959858,10.49388200044632,1433.539948105812,"[3136, 1024]","[2, 446, 2048]"
46,2,61.98169708251953,830.9106379747391,10.587520897388458,903.4798559546471,"[3136, 1024]","[2, 446, 2048]"
47,2,60.31462478637695,138.4851410984993,10.166846215724945,208.9666121006012,"[3136, 1024]","[2, 446, 2048]"
48,2,60.030975341796875,212.6314863562584,10.090969502925873,282.75343120098114,"[3136, 1024]","[2, 446, 2048]"
49,2,60.433406829833984,290.4609590768814,10.043695569038391,360.9380614757538,"[3136, 1024]","[2, 446, 2048]"
50,2,62.73331069946289,173.8003045320511,10.56595891714096,247.09957414865494,"[3136, 1024]","[2, 446, 2048]"
51,2,60.60134506225586,134.10674780607224,9.969249367713928,204.67734223604202,"[3136, 1024]","[2, 446, 2048]"
52,2,60.51225662231445,252.98051536083221,9.933777153491974,323.42654913663864,"[3136, 1024]","[2, 446, 2048]"
53,2,60.72832107543945,132.30964541435242,10.08661836385727,203.12458485364914,"[3136, 1024]","[2, 446, 2048]"
54,2,82.3531494140625,403.8957208395004,11.049076914787292,497.2979471683502,"[3136, 1024]","[2, 446, 2048]"
55,2,81.97119903564453,240.0042861700058,14.385506510734558,336.3609917163849,"[3136, 1024]","[2, 446, 2048]"
56,2,82.27021026611328,224.86504912376404,14.895297586917877,322.0305569767952,"[3136, 1024]","[2, 446, 2048]"
57,2,62.258174896240234,240.1224747300148,13.728104531764984,316.10875415802,"[3136, 1024]","[2, 446, 2048]"
58,2,61.061119079589844,236.86738312244415,11.122681200504303,309.0511834025383,"[3136, 1024]","[2, 446, 2048]"
59,2,60.177406311035156,144.7640210390091,9.662128984928131,214.60355633497238,"[3136, 1024]","[2, 446, 2048]"
60,2,60.64128112792969,240.3918132185936,9.893946349620819,310.9270406961441,"[3136, 1024]","[2, 446, 2048]"
61,2,62.18547058105469,243.99477243423462,11.059917509555817,317.2401605248451,"[3136, 1024]","[2, 446, 2048]"
62,2,61.183998107910156,185.45406311750412,11.59079372882843,258.2288549542427,"[3136, 1024]","[2, 446, 2048]"
63,2,60.318721771240234,214.51859176158905,11.193186044692993,286.0304995775223,"[3136, 1024]","[2, 446, 2048]"
64,2,60.37913513183594,156.35523200035095,10.657049715518951,227.39141684770584,"[3136, 1024]","[2, 446, 2048]"
65,2,61.949951171875,206.88164979219437,11.44639402627945,280.2779949903488,"[3136, 1024]","[2, 446, 2048]"
66,2,61.17375946044922,312.20757216215134,10.906584560871124,384.2879161834717,"[3136, 1024]","[2, 446, 2048]"
67,2,61.014015197753906,164.88802433013916,10.590024292469025,236.4920638203621,"[3136, 1024]","[2, 446, 2048]"
68,2,61.56800079345703,166.90536588430405,10.587528347969055,239.06089502573013,"[3136, 1024]","[2, 446, 2048]"
69,2,60.66892623901367,388.25731724500656,11.119760572910309,460.04600405693054,"[3136, 1024]","[2, 446, 2048]"
70,2,60.30643081665039,194.57252323627472,11.227689683437347,266.10664373636246,"[3136, 1024]","[2, 446, 2048]"
71,2,60.52454376220703,349.3977040052414,11.516697704792023,421.43894547224045,"[3136, 1024]","[2, 446, 2048]"
72,2,60.77542495727539,202.8929814696312,10.542243719100952,274.21065014600754,"[3136, 1024]","[2, 446, 2048]"
73,2,60.74367904663086,295.7126870751381,11.143989861011505,367.60035598278046,"[3136, 1024]","[2, 446, 2048]"
74,2,60.51123046875,254.11786884069443,10.713465511798859,325.3425648212433,"[3136, 1024]","[2, 446, 2048]"
75,2,61.230079650878906,247.4343627691269,10.93437522649765,319.59881764650345,"[3136, 1024]","[2, 446, 2048]"
76,2,60.76416015625,171.8151718378067,11.35668158531189,243.9360135793686,"[3136, 1024]","[2, 446, 2048]"
77,2,60.17228698730469,183.13336372375488,11.21608167886734,254.5217323899269,"[3136, 1024]","[2, 446, 2048]"
78,2,60.309505462646484,261.4077106118202,11.46814227104187,333.1853583455086,"[3136, 1024]","[2, 446, 2048]"
79,2,61.08979034423828,240.16804993152618,12.12986558675766,313.3877058625221,"[3136, 1024]","[2, 446, 2048]"
80,2,60.62284851074219,304.82061952352524,12.427344918251038,377.87081295251846,"[3136, 1024]","[2, 446, 2048]"
81,2,60.77644729614258,221.86646610498428,12.793131172657013,295.4360445737839,"[3136, 1024]","[2, 446, 2048]"
82,2,61.107200622558594,369.38364803791046,13.048440217971802,443.53928887844086,"[3136, 1024]","[2, 446, 2048]"
83,2,60.22963333129883,208.2049325108528,12.729346752166748,281.1639125943184,"[3136, 1024]","[2, 446, 2048]"
