phase,host_time_unix,watts,utilization_percent,memory_used_mib
active:batch154:size2,1788855243.7621832,212.3,78.0,4883.0
active:batch155:size2,1788855243.8628933,264.23,78.0,4883.0
active:batch157:size2,1788855243.9940522,185.51,73.0,4883.0
active:batch158:size2,1788855244.0973659,218.6,73.0,4883.0
active:batch163:size2,1788855244.4675016,218.6,73.0,4883.0
active:batch164:size2,1788855244.5177617,141.56,75.0,4883.0
active:batch164:size2,1788855244.5680852,141.56,75.0,4883.0
active:batch165:size2,1788855244.6184146,240.45,73.0,4883.0
active:batch166:size2,1788855244.668874,240.45,73.0,4883.0
active:batch166:size2,1788855244.7192168,243.42,73.0,4883.0
active:batch167:size2,1788855244.7693894,243.42,73.0,4883.0
active:batch168:size2,1788855244.8197873,149.48,77.0,4883.0
active:batch168:size2,1788855244.8701365,149.48,77.0,4883.0
active:batch169:size2,1788855244.9203157,227.8,77.0,4883.0
active:batch170:size2,1788855244.9709523,227.8,77.0,4883.0
active:batch170:size2,1788855245.0209963,222.55,71.0,4883.0
active:batch171:size2,1788855245.0712624,222.55,71.0,4883.0
active:batch172:size2,1788855245.1719258,219.24,71.0,4883.0
active:batch173:size2,1788855245.2221956,204.49,71.0,4883.0
active:batch174:size2,1788855245.3227715,217.04,72.0,4883.0
active:batch175:size2,1788855245.3731534,217.04,77.0,4883.0
active:batch176:size2,1788855245.4737437,269.68,77.0,4883.0
active:batch177:size2,1788855245.5240376,269.68,77.0,4883.0
active:batch178:size2,1788855245.6438968,242.94,72.0,4883.0
active:batch179:size2,1788855245.6961813,242.94,72.0,4883.0
active:batch186:size2,1788855246.24412,137.54,74.0,4883.0
active:batch187:size2,1788855246.2943685,221.88,74.0,4883.0
active:batch188:size2,1788855246.3950922,206.67,74.0,4883.0
active:batch189:size2,1788855246.4454706,206.67,77.0,4883.0
active:batch189:size2,1788855246.4957292,206.33,77.0,4883.0
active:batch190:size2,1788855246.546009,206.33,77.0,4883.0
active:batch191:size2,1788855246.5964131,206.33,77.0,4883.0
active:batch191:size2,1788855246.6467767,211.68,72.0,4883.0
active:batch192:size2,1788855246.6970835,268.22,72.0,4883.0
active:batch193:size2,1788855246.7474425,268.22,72.0,4883.0
active:batch193:size2,1788855246.7976968,268.22,72.0,4883.0
active:batch194:size2,1788855246.8479984,181.34,73.0,4883.0
active:batch195:size2,1788855246.8982136,181.34,73.0,4883.0
active:batch195:size2,1788855246.9486566,243.47,73.0,4883.0
active:batch196:size2,1788855246.999011,243.47,73.0,4883.0
active:batch197:size2,1788855247.099392,254.26,75.0,4883.0
active:batch198:size2,1788855247.1497161,143.96,75.0,4883.0
active:batch199:size2,1788855247.2502978,233.92,72.0,4883.0
active:batch200:size2,1788855247.34076,240.79,72.0,4883.0
active:batch201:size2,1788855247.4120097,240.79,72.0,4883.0
active:batch202:size2,1788855247.482115,153.96,79.0,4883.0
active:batch203:size2,1788855247.5338292,226.08,79.0,4883.0
active:batch208:size2,1788855247.9005353,226.08,79.0,4883.0
active:batch208:size2,1788855247.9509094,226.08,79.0,4883.0
active:batch209:size2,1788855248.0026307,211.33,78.0,4883.0
active:batch210:size2,1788855248.0515645,211.33,78.0,4883.0
active:batch210:size2,1788855248.101771,200.46,78.0,4883.0
active:batch211:size2,1788855248.152146,200.46,78.0,4883.0
active:batch212:size2,1788855248.2526948,217.51,72.0,4883.0
active:batch213:size2,1788855248.303024,261.6,72.0,4883.0
active:batch214:size2,1788855248.4036744,261.6,72.0,4883.0
active:batch215:size2,1788855248.4538593,261.6,72.0,4883.0
active:batch216:size2,1788855248.5540948,241.58,74.0,4883.0
active:batch217:size2,1788855248.60419,241.58,76.0,4883.0
active:batch218:size2,1788855248.7044184,259.55,76.0,4883.0
active:batch219:size2,1788855248.7545922,259.55,76.0,4883.0
active:batch219:size2,1788855248.804647,136.88,72.0,4883.0
active:batch220:size2,1788855248.8547533,136.88,72.0,4883.0
active:batch221:size2,1788855248.9049358,238.03,72.0,4883.0
active:batch221:size2,1788855248.9549747,238.03,72.0,4883.0
active:batch222:size2,1788855249.0050843,176.32,77.0,4883.0
active:batch223:size2,1788855249.091886,224.42,77.0,4883.0
active:batch224:size2,1788855249.1873531,203.94,72.0,4883.0
active:batch225:size2,1788855249.2384055,203.94,72.0,4883.0
active:batch230:size2,1788855249.608643,203.94,72.0,4883.0
active:batch230:size2,1788855249.6588378,270.36,76.0,4883.0
active:batch231:size2,1788855249.7088873,270.36,76.0,4883.0
active:batch232:size2,1788855249.758961,157.07,76.0,4883.0
active:batch232:size2,1788855249.809002,157.07,76.0,4883.0
active:batch233:size2,1788855249.8591955,242.83,76.0,4883.0
active:batch234:size2,1788855249.9092317,242.83,72.0,4883.0
active:batch234:size2,1788855249.959482,246.76,72.0,4883.0
active:batch235:size2,1788855250.009775,246.76,72.0,4883.0
active:batch236:size2,1788855250.060065,143.01,72.0,4883.0
active:batch236:size2,1788855250.1104207,143.01,77.0,4883.0
active:batch237:size2,1788855250.160693,243.88,77.0,4883.0
active:batch238:size2,1788855250.2109978,243.88,74.0,4883.0
active:batch238:size2,1788855250.2614172,243.88,74.0,4883.0
active:batch239:size2,1788855250.3117359,251.97,74.0,4883.0
active:batch240:size2,1788855250.361958,251.97,74.0,4883.0
active:batch240:size2,1788855250.4124725,142.47,74.0,4883.0
active:batch241:size2,1788855250.462761,142.47,74.0,4883.0
active:batch242:size2,1788855250.5131187,234.11,73.0,4883.0
active:batch242:size2,1788855250.5634742,243.03,73.0,4883.0
active:batch243:size2,1788855250.613821,243.03,78.0,4883.0
active:batch244:size2,1788855250.714732,173.63,78.0,4883.0
active:batch245:size2,1788855250.801779,221.84,72.0,4883.0
active:batch246:size2,1788855250.8528376,221.84,72.0,4883.0
active:batch247:size2,1788855250.903643,226.51,72.0,4883.0
active:batch247:size2,1788855250.9543738,226.51,72.0,4883.0
active:batch252:size2,1788855251.3270235,226.51,72.0,4883.0
active:batch253:size2,1788855251.3773587,198.99,76.0,4883.0
active:batch254:size2,1788855251.4779289,247.32,73.0,4883.0
active:batch255:size2,1788855251.5282514,247.32,73.0,4883.0
active:batch255:size2,1788855251.5786133,250.23,73.0,4883.0
active:batch256:size2,1788855251.6290002,250.23,73.0,4883.0
active:batch257:size2,1788855251.6792998,145.66,76.0,4883.0
active:batch257:size2,1788855251.7295089,145.66,76.0,4883.0
active:batch258:size2,1788855251.7797682,238.62,76.0,4883.0
active:batch259:size2,1788855251.8300312,238.62,76.0,4883.0
active:batch259:size2,1788855251.880313,240.04,73.0,4883.0
active:batch260:size2,1788855251.930642,240.04,73.0,4883.0
active:batch261:size2,1788855251.9808779,162.23,73.0,4883.0
active:batch261:size2,1788855252.0312052,162.23,73.0,4883.0
active:batch262:size2,1788855252.081551,231.68,73.0,4883.0
active:batch263:size2,1788855252.1318343,231.68,73.0,4883.0
active:batch263:size2,1788855252.1820831,217.38,73.0,4883.0
active:batch264:size2,1788855252.2324924,217.38,73.0,4883.0
active:batch265:size2,1788855252.3331165,193.05,77.0,4883.0
active:batch266:size2,1788855252.3834517,209.99,77.0,4883.0
active:batch267:size2,1788855252.5011897,215.4,73.0,4883.0
active:batch269:size2,1788855252.5978146,232.59,73.0,4883.0
active:batch269:size2,1788855252.6530297,232.59,73.0,4883.0
active:batch274:size2,1788855253.0336514,232.59,73.0,4883.0
active:batch275:size2,1788855253.0839715,213.3,75.0,4883.0
active:batch276:size2,1788855253.134338,213.3,75.0,4883.0
active:batch276:size2,1788855253.18461,265.27,75.0,4883.0
active:batch277:size2,1788855253.2347386,265.27,75.0,4883.0
active:batch278:size2,1788855253.2851994,186.13,75.0,4883.0
active:batch278:size2,1788855253.3354785,186.13,75.0,4883.0
