host_time_unix,host_monotonic_s,phase,watts
1788928360.4767368,45100312.959604345,active:2,38.13
1788928361.0288894,45100313.51175757,active:3,38.44
1788928361.0790997,45100313.561967045,active:3,38.44
1788928361.5811632,45100314.064030856,active:4,38.04
1788928361.6314018,45100314.11426889,active:4,38.04
1788928362.08317,45100314.56603758,active:5,38.13
1788928362.13333,45100314.616197415,active:5,38.13
1788928362.7348871,45100315.21775466,active:6,38.13
1788928363.186081,45100315.66894909,active:7,38.13
1788928363.2362647,45100315.71913229,active:7,38.24
1788928363.5875106,45100316.07037784,active:8,38.23
1788928363.637675,45100316.12054248,active:8,38.13
1788928364.039129,45100316.52199636,active:9,38.22
1788928364.0893402,45100316.572207645,active:9,38.24
1788928364.4904914,45100316.9733589,active:10,38.03
1788928364.5405805,45100317.02344789,active:10,38.03
1788928365.1924195,45100317.67528787,active:11,38.13
1788928365.6936338,45100318.176501006,active:12,38.13
1788928366.0944262,45100318.57729337,active:13,38.13
1788928366.696425,45100319.17929286,active:14,38.22
1788928366.7465408,45100319.22940798,active:14,38.22
1788928367.3484612,45100319.83132859,active:15,38.13
1788928367.8503795,45100320.33324706,active:16,37.94
1788928367.9005733,45100320.38344045,active:16,69.76
1788928368.5029395,45100320.985806935,active:17,37.94
1788928368.553072,45100321.03593904,active:17,38.02
1788928369.0550847,45100321.537952036,active:18,38.12
1788928369.1052997,45100321.588167146,active:18,38.12
1788928369.4562798,45100321.93914704,active:19,38.04
1788928369.5065293,45100321.98939683,active:19,37.94
1788928369.9075074,45100322.390374795,active:20,38.13
1788928369.9576447,45100322.44051198,active:20,38.13
1788928370.358963,45100322.84183066,active:21,38.13
1788928370.4090958,45100322.89196317,active:21,83.29
1788928370.8608227,45100323.34369016,active:22,38.13
1788928370.9110236,45100323.393890806,active:22,38.13
1788928371.2622838,45100323.745151035,active:23,38.02
1788928371.3124704,45100323.79533792,active:23,38.02
1788928372.0146713,45100324.497539334,active:24,38.04
1788928372.5154634,45100324.99833073,active:25,38.03
1788928373.016728,45100325.49959531,active:26,72.44
1788928373.4684806,45100325.951347835,active:27,37.94
1788928374.070294,45100326.55316279,active:28,37.84
1788928374.1202738,45100326.603141755,active:28,37.84
1788928374.5218973,45100327.00476441,active:29,38.03
1788928374.5718384,45100327.05470575,active:29,38.03
1788928375.1733181,45100327.65618552,active:30,38.03
1788928375.2234335,45100327.706301086,active:30,38.12
1788928375.7749865,45100328.25785436,active:31,38.13
1788928376.3769255,45100328.85979299,active:32,38.13
1788928376.42701,45100328.90987747,active:32,38.13
1788928376.9281478,45100329.41101521,active:33,38.13
1788928376.978243,45100329.46111042,active:33,41.1
1788928377.4297538,45100329.91262123,active:34,38.02
1788928377.8312716,45100330.31413934,active:35,38.04
1788928377.8814187,45100330.364286005,active:35,38.04
1788928378.2830176,45100330.765885,active:36,38.13
1788928378.3332024,45100330.816069506,active:36,38.13
1788928378.7846467,45100331.267514184,active:37,38.13
1788928378.8347337,45100331.317601144,active:37,38.13
1788928379.2360728,45100331.71894057,active:38,38.13
1788928379.7883987,45100332.27126659,active:39,38.15
1788928380.4403453,45100332.92321326,active:40,38.13
1788928380.490483,45100332.973350175,active:40,38.13
1788928380.991733,45100333.47460016,active:41,38.24
1788928381.0419657,45100333.524835154,active:41,38.93
1788928381.3925676,45100333.875435,active:42,38.33
1788928381.943492,45100334.426359765,active:43,37.94
1788928381.9935803,45100334.4764472,active:43,89.09
1788928382.3946512,45100334.87751812,active:44,38.12
1788928382.444555,45100334.92742277,active:44,38.23
1788928383.146478,45100335.62934504,active:45,37.94
1788928383.1966658,45100335.67953425,active:45,37.94
1788928383.9022386,45100336.38510556,active:46,38.12
1788928384.307353,45100336.790220104,active:47,38.13
1788928384.3573737,45100336.84024071,active:47,38.13
1788928384.7588637,45100337.24173139,active:48,38.13
1788928384.8090527,45100337.29191998,active:48,74.6
1788928385.6613393,45100338.14420667,active:49,38.03
1788928385.7115495,45100338.194416925,active:49,38.03
1788928386.162796,45100338.645663664,active:50,38.44
1788928386.7145307,45100339.19739801,active:51,38.34
1788928387.1158233,45100339.598690554,active:52,38.13
1788928387.16591,45100339.64877661,active:52,38.13
1788928387.7678928,45100340.250760466,active:53,38.04
1788928387.8181129,45100340.30098024,active:53,67.11
1788928388.4203324,45100340.903199546,active:54,38.13
1788928388.4704762,45100340.95334278,active:54,38.13
1788928388.9723003,45100341.45516738,active:55,38.24
1788928389.5243218,45100342.0071888,active:56,38.22
1788928389.574461,45100342.05732773,active:56,38.34
1788928390.126284,45100342.60915145,active:57,38.13
1788928390.1764426,45100342.65930994,active:57,38.13
1788928390.8285077,45100343.3113747,active:58,39.91
1788928391.2798095,45100343.76267674,active:59,38.24
1788928391.3299825,45100343.81284968,active:59,38.24
1788928391.78192,45100344.264787816,active:60,38.13
1788928392.3335047,45100344.81637173,active:61,38.23
1788928392.3836837,45100344.86655019,active:61,38.23
1788928392.935605,45100345.418472745,active:62,38.13
1788928393.3871188,45100345.869986385,active:63,38.13
1788928393.437381,45100345.92024828,active:63,79.52
1788928393.8387244,45100346.321591444,active:64,38.24
1788928393.8888228,45100346.37168953,active:64,38.22
1788928394.3905544,45100346.873421885,active:65,38.13
1788928394.8926105,45100347.375478365,active:66,38.24
1788928395.4443502,45100347.927217856,active:67,38.03
1788928395.494471,45100347.97733849,active:67,38.34
1788928395.9958205,45100348.47868842,active:68,38.12
1788928396.4476829,45100348.93055054,active:69,38.23
1788928396.4978015,45100348.980668776,active:69,38.23
1788928396.9996462,45100349.48251327,active:70,38.13
1788928397.0498059,45100349.532672904,active:70,38.13
1788928397.6016698,45100350.08453691,active:71,38.03
1788928397.6518028,45100350.13466951,active:71,38.03
1788928398.2035303,45100350.68639786,active:72,38.13
1788928398.2536268,45100350.736493535,active:72,38.23
1788928398.5042922,45100350.98715929,active:73,38.63
1788928398.5544493,45100351.03731606,active:73,38.54
1788928399.0059245,45100351.488792166,active:74,38.13
1788928399.0559952,45100351.538861945,active:74,38.13
1788928399.7585578,45100352.24142515,active:75,38.24
1788928399.8086805,45100352.291547135,active:75,41.2
1788928400.2599852,45100352.74285239,active:76,38.33
1788928400.7114015,45100353.19426939,active:77,38.13
1788928400.7614393,45100353.24430614,active:77,38.13
1788928401.162753,45100353.64562075,active:78,38.32
1788928401.2129114,45100353.69577808,active:78,38.32
1788928401.7645426,45100354.24741045,active:79,38.34
1788928401.8146617,45100354.29752824,active:79,74.74
1788928402.316438,45100354.79930495,active:80,38.13
1788928403.1691165,45100355.65198337,active:81,38.04
1788928404.1221929,45100356.60505982,active:82,38.34
1788928404.172386,45100356.65525336,active:82,38.13
1788928404.7739344,45100357.25680121,active:83,38.33
1788928404.8241332,45100357.30699987,active:83,38.33
1788928405.2755692,45100357.758436345,active:84,38.04
1788928405.3256497,45100357.80851647,active:84,38.33
1788928405.9281695,45100358.41103706,active:85,38.23
1788928406.379425,45100358.862292014,active:86,38.23
1788928406.4295716,45100358.91243816,active:86,38.23
1788928406.9815664,45100359.464433424,active:87,38.63
1788928407.0318043,45100359.51467112,active:87,41.3
1788928407.7842424,45100360.267109394,active:88,38.13
1788928407.8344214,45100360.31728827,active:88,58.7
1788928408.38672,45100360.86958784,active:89,38.13
1788928408.4369037,45100360.91977089,active:89,38.13
1788928409.0896747,45100361.57254221,active:90,38.23
1788928409.139773,45100361.622640274,active:90,38.23
1788928410.0431902,45100362.52605756,active:91,38.24
1788928410.093339,45100362.576205686,active:91,38.24
1788928410.8465025,45100363.32936934,active:92,38.34
1788928410.8966134,45100363.379479825,active:92,38.34
1788928411.1473897,45100363.630257376,active:93,38.93
1788928411.1975791,45100363.68044667,active:93,38.33
1788928411.29796,45100363.78082694,active:94,73.21
1788928411.3480792,45100363.83094584,active:94,73.21
1788928411.4985316,45100363.981399275,active:95,48.43
1788928411.5486276,45100364.03149447,active:95,48.43
1788928411.648983,45100364.13185072,active:96,78.85
1788928411.7013643,45100364.18423079,active:96,44.07
1788928411.7491732,45100364.23203987,active:96,44.07
1788928411.89966,45100364.382527485,active:97,39.52
1788928411.9499094,45100364.43277665,active:97,39.52
1788928412.1001608,45100364.58302752,active:98,45.85
1788928412.1503594,45100364.633226655,active:98,45.85
1788928412.3508608,45100364.83372771,active:99,45.95
1788928412.4009964,45100364.883863054,active:99,45.95
1788928412.5515006,45100365.03436811,active:100,38.83
1788928412.6015728,45100365.084440194,active:100,38.83
1788928412.701947,45100365.184814304,active:101,81.69
1788928412.7520187,45100365.23488591,active:101,79.73
1788928412.8523068,45100365.33517392,active:102,79.73
1788928412.9024503,45100365.38531704,active:102,79.73
1788928413.002749,45100365.48561659,active:103,82.67
1788928413.052869,45100365.535736464,active:103,65.88
1788928413.3036048,45100365.78647175,active:104,38.92
1788928413.454206,45100365.93707363,active:105,42.68
1788928413.6046402,45100366.08750809,active:106,50.3
1788928413.7551336,45100366.23800093,active:107,40.41
1788928414.0560727,45100366.53893965,active:108,40.51
1788928414.3571842,45100366.840051316,active:109,39.91
1788928414.407289,45100366.89015571,active:109,39.9
1788928414.608018,45100367.090885505,active:110,40.01
1788928414.6580997,45100367.140967034,active:110,40.01
1788928414.8086421,45100367.29150904,active:111,44.67
1788928414.8588734,45100367.34174083,active:111,44.67
1788928415.00927,45100367.49213715,active:112,40.9
1788928415.0595436,45100367.54241096,active:112,40.9
1788928415.2099507,45100367.69281754,active:113,83.0
1788928415.3103654,45100367.79323247,active:114,42.58
1788928415.3605404,45100367.84340762,active:114,82.19
1788928415.6113665,45100368.094234385,active:115,38.44
1788928415.7116547,45100368.194521725,active:116,38.44
1788928415.7618375,45100368.24470415,active:116,81.32
1788928416.0126595,45100368.495526515,active:117,38.53
1788928416.1631362,45100368.646003745,active:118,38.83
1788928416.313615,45100368.79648206,active:119,53.17
1788928416.3638012,45100368.84666812,active:119,53.17
1788928416.4641337,45100368.94700064,active:120,39.12
1788928416.5142825,45100368.99714928,active:120,39.12
1788928416.714821,45100369.19768907,active:121,39.43
1788928416.765043,45100369.2479104,active:121,39.43
1788928416.9154108,45100369.39827787,active:122,40.91
1788928416.9655573,45100369.448424526,active:122,40.91
1788928417.1663265,45100369.649193645,active:123,41.59
1788928417.3167486,45100369.79961545,active:124,49.91
1788928417.3669462,45100369.84981358,active:124,49.91
1788928417.5173557,45100370.000223026,active:125,40.1
1788928417.7180388,45100370.20090632,active:126,39.62
1788928417.768172,45100370.25103922,active:126,39.62
1788928417.868428,45100370.351295985,active:127,93.14
1788928417.918616,45100370.40148284,active:127,40.4
1788928418.0690799,45100370.55194694,active:128,84.86
1788928418.2195342,45100370.70240114,active:129,42.1
1788928418.370123,45100370.8529906,active:130,42.09
1788928418.5706315,45100371.05349834,active:131,64.55
1788928418.721069,45100371.20393592,active:132,46.25
1788928418.7713165,45100371.2541837,active:132,89.94
1788928419.0220406,45100371.50490825,active:133,38.63
1788928419.2226694,45100371.7055361,active:134,38.82
1788928419.373216,45100371.8560831,active:135,38.72
1788928419.4234433,45100371.90631056,active:135,38.72
1788928419.5237296,45100372.0065966,active:136,59.9
1788928419.57384,45100372.056706674,active:136,59.9
1788928419.7243838,45100372.20725068,active:137,39.92
1788928419.9751782,45100372.4580452,active:138,39.23
1788928420.025354,45100372.50822141,active:138,38.92
1788928420.3264294,45100372.80929695,active:139,39.03
1788928420.5268967,45100373.00976364,active:140,39.33
1788928420.5770662,45100373.05993285,active:140,39.33
1788928420.7275245,45100373.21039224,active:141,80.14
1788928420.7776315,45100373.2604981,active:141,44.07
1788928421.0284717,45100373.51133882,active:142,38.93
1788928421.0787,45100373.561567485,active:142,38.93
1788928421.2792656,45100373.76213264,active:143,39.31
1788928421.3294184,45100373.81228588,active:143,39.31
1788928421.5300498,45100374.01291751,active:144,39.03
1788928421.580189,45100374.06305569,active:144,71.73
1788928421.6809673,45100374.16383563,active:145,38.93
1788928421.7307396,45100374.21360644,active:145,38.93
1788928421.7808926,45100374.26375944,active:145,38.93
1788928421.9313536,45100374.41422179,active:146,38.73
1788928421.981468,45100374.464334495,active:146,38.73
1788928422.1820207,45100374.66488751,active:147,39.12
1788928422.232206,45100374.71507278,active:147,38.53
1788928422.3828237,45100374.86569116,active:148,64.26
1788928422.4329288,45100374.91579554,active:148,38.63
1788928422.6335707,45100375.11643834,active:149,38.73
1788928422.683768,45100375.16663525,active:149,38.73
1788928422.8843906,45100375.36725774,active:150,39.02
1788928423.084929,45100375.56779651,active:151,41.11
1788928423.13502,45100375.617886595,active:151,56.44
1788928423.2354326,45100375.71829971,active:152,56.44
1788928423.2855816,45100375.768448144,active:152,44.96
1788928423.3859084,45100375.86877593,active:153,90.67
1788928423.436013,45100375.918880254,active:153,90.67
1788928423.5363667,45100376.01923427,active:154,38.82
1788928423.5864277,45100376.069294214,active:154,54.56
1788928423.7368894,45100376.21975625,active:155,81.81
1788928423.7870073,45100376.269873805,active:155,39.12
1788928423.93747,45100376.42033692,active:156,38.82
1788928424.087897,45100376.57076451,active:157,38.82
1788928424.1380868,45100376.62095356,active:157,38.73
1788928424.2885714,45100376.77143839,active:158,70.65
1788928424.4890661,45100376.97193334,active:159,40.71
1788928424.53919,45100377.022056624,active:159,73.1
1788928424.6895647,45100377.172431745,active:160,42.69
1788928424.9403925,45100377.423260234,active:161,38.82
1788928425.0908308,45100377.57369856,active:162,83.77
1788928425.1410184,45100377.6238852,active:162,38.82
1788928425.291415,45100377.7742821,active:163,61.97
1788928425.3415194,45100377.824385986,active:163,38.82
1788928425.592299,45100378.07516623,active:164,38.72
1788928425.6424024,45100378.125269055,active:164,38.72
1788928425.8430388,45100378.32590621,active:165,45.55
1788928425.8931274,45100378.375994176,active:165,38.82
1788928425.9934754,45100378.47634293,active:166,80.8
1788928426.1940541,45100378.676921226,active:167,40.3
1788928426.2441814,45100378.72704823,active:167,40.3
1788928426.494855,45100378.97772197,active:168,38.63
