phase,host_time_unix,watts,utilization_percent,memory_used_mib
active:batch155:size2,1788875004.0454698,209.92,73.0,4883.0
active:batch156:size2,1788875004.0958457,209.92,73.0,4883.0
active:batch156:size2,1788875004.1461496,215.1,73.0,4883.0
active:batch157:size2,1788875004.1963878,215.1,72.0,4883.0
active:batch158:size2,1788875004.29672,242.63,72.0,4883.0
active:batch159:size2,1788875004.3469856,166.06,70.0,4883.0
active:batch160:size2,1788875004.447413,166.06,70.0,4883.0
active:batch161:size2,1788875004.4976246,210.79,70.0,4883.0
active:batch161:size2,1788875004.5478837,210.79,70.0,4883.0
active:batch162:size2,1788875004.59814,210.79,72.0,4883.0
active:batch163:size2,1788875004.6987443,132.57,72.0,4883.0
active:batch164:size2,1788875004.7490196,132.57,72.0,4883.0
active:batch164:size2,1788875004.7992053,132.57,70.0,4883.0
active:batch165:size2,1788875004.8495054,132.57,70.0,4883.0
active:batch166:size2,1788875004.8997595,211.65,70.0,4883.0
active:batch166:size2,1788875004.9499848,211.65,70.0,4883.0
active:batch167:size2,1788875005.0003471,211.65,71.0,4883.0
active:batch168:size2,1788875005.0506158,211.65,71.0,4883.0
active:batch168:size2,1788875005.1008444,138.1,71.0,4883.0
active:batch169:size2,1788875005.151113,138.1,71.0,4883.0
active:batch170:size2,1788875005.2516003,233.65,75.0,4883.0
active:batch171:size2,1788875005.3019269,236.85,70.0,4883.0
active:batch172:size2,1788875005.4024112,187.32,70.0,4883.0
active:batch173:size2,1788875005.4527152,187.32,70.0,4883.0
active:batch174:size2,1788875005.5532687,211.36,70.0,4883.0
active:batch175:size2,1788875005.6035686,206.9,77.0,4883.0
active:batch175:size2,1788875005.6538708,206.9,77.0,4883.0
active:batch176:size2,1788875005.7039645,266.89,77.0,4883.0
active:batch177:size2,1788875005.7545254,266.89,77.0,4883.0
active:batch177:size2,1788875005.8044615,140.4,77.0,4883.0
active:batch178:size2,1788875005.8547149,140.4,69.0,4883.0
active:batch179:size2,1788875005.9552805,238.79,75.0,4883.0
active:batch180:size2,1788875006.005619,245.57,75.0,4883.0
active:batch181:size2,1788875006.1062865,148.16,75.0,4883.0
active:batch182:size2,1788875006.1565259,148.16,73.0,4883.0
active:batch183:size2,1788875006.2570455,239.1,73.0,4883.0
active:batch184:size2,1788875006.307275,223.04,73.0,4883.0
active:batch184:size2,1788875006.3575158,223.04,72.0,4883.0
active:batch185:size2,1788875006.40773,223.04,72.0,4883.0
active:batch186:size2,1788875006.4579084,239.38,72.0,4883.0
active:batch186:size2,1788875006.5082686,212.12,72.0,4883.0
active:batch187:size2,1788875006.5586221,212.12,77.0,4883.0
active:batch188:size2,1788875006.6587157,211.92,77.0,4883.0
active:batch195:size2,1788875007.2042735,164.12,70.0,4883.0
active:batch196:size2,1788875007.2545404,164.12,70.0,4883.0
active:batch196:size2,1788875007.304737,232.78,70.0,4883.0
active:batch197:size2,1788875007.3549902,232.78,71.0,4883.0
active:batch198:size2,1788875007.4052358,232.78,71.0,4883.0
active:batch198:size2,1788875007.4554994,243.32,71.0,4883.0
active:batch199:size2,1788875007.505707,243.32,71.0,4883.0
active:batch200:size2,1788875007.5560575,152.25,73.0,4883.0
active:batch200:size2,1788875007.6062865,152.25,73.0,4883.0
active:batch201:size2,1788875007.656524,240.61,73.0,4883.0
active:batch202:size2,1788875007.7067719,240.61,73.0,4883.0
active:batch202:size2,1788875007.7569067,229.32,74.0,4883.0
active:batch203:size2,1788875007.8071404,229.32,74.0,4883.0
active:batch204:size2,1788875007.9076638,182.95,74.0,4883.0
active:batch205:size2,1788875007.957817,183.46,73.0,4883.0
active:batch206:size2,1788875008.0582783,239.63,73.0,4883.0
active:batch207:size2,1788875008.1084447,239.63,73.0,4883.0
active:batch207:size2,1788875008.158639,244.78,71.0,4883.0
active:batch208:size2,1788875008.2089467,244.78,71.0,4883.0
active:batch209:size2,1788875008.2590892,156.41,71.0,4883.0
active:batch210:size2,1788875008.3452072,214.76,71.0,4883.0
active:batch210:size2,1788875008.3990479,214.76,74.0,4883.0
active:batch212:size2,1788875008.4958472,211.28,74.0,4883.0
active:batch216:size2,1788875008.869627,211.28,74.0,4883.0
active:batch217:size2,1788875008.9199371,200.35,75.0,4883.0
active:batch218:size2,1788875008.970212,200.35,75.0,4883.0
active:batch218:size2,1788875009.0205026,201.83,71.0,4883.0
active:batch219:size2,1788875009.070806,201.83,71.0,4883.0
active:batch220:size2,1788875009.1212356,214.94,71.0,4883.0
active:batch220:size2,1788875009.171583,214.94,73.0,4883.0
active:batch221:size2,1788875009.2218118,214.94,73.0,4883.0
active:batch222:size2,1788875009.3224633,181.83,73.0,4883.0
active:batch223:size2,1788875009.372801,181.83,76.0,4883.0
active:batch224:size2,1788875009.4733398,236.99,76.0,4883.0
active:batch225:size2,1788875009.523665,240.11,76.0,4883.0
active:batch225:size2,1788875009.5739686,240.11,70.0,4883.0
active:batch226:size2,1788875009.6243289,154.86,70.0,4883.0
active:batch227:size2,1788875009.6746526,154.86,70.0,4883.0
active:batch227:size2,1788875009.724986,154.86,70.0,4883.0
active:batch228:size2,1788875009.7752318,233.51,78.0,4883.0
active:batch229:size2,1788875009.8255725,227.07,78.0,4883.0
active:batch229:size2,1788875009.8758295,227.07,78.0,4883.0
