relative_path,kind,file_count,bytes,gib,modified_utc
opticalmoe/d2nn_cifar10_4class_heterogeneous_moe9_deep_nonlinear,directory,20190,2614952281,2.435364,1784017638.6679647
opticalmoe/d2nn_cifar10_4class_heterogeneous_moe9_linear,directory,1475,424399722,0.395253,1783999068.790082
opticalmoe/FOUR_EXPERT_MOE_TRAINING_NOTES.md,file,1,13145,0.000012,1782896161.0154228
opticalmoe/FOUR_EXPERT_PROMPT_ARCHITECTURE.md,file,1,12386,0.000012,1782896161.0154228
opticalmoe/LINUX_SERVER_SETUP.md,file,1,10542,0.000010,1782896161.0154228
opticalmoe/MULTITASK_AND_CONTROL_EXPERIMENTS.md,file,1,7039,0.000007,1782896161.0154228
opticalmoe/notebooks,directory,5,22359846,0.020824,1783864000.2686589
opticalmoe/OPTICAL_MOE_USAGE.md,file,1,7319,0.000007,1782896161.0154228
opticalmoe/pyproject.toml,file,1,451,0.000000,1782896161.151422
opticalmoe/README.md,file,1,6402,0.000006,1782896161.0154228
opticalmoe/requirements-linux.txt,file,1,190,0.000000,1782896161.151422
opticalmoe/scripts,directory,18,776905,0.000724,1782957491.4856617
opticalmoe/slm_bmp.py,file,1,2717,0.000003,1783914941.4967587
opticalmoe/src,directory,84,626108,0.000583,1782957646.208461
opticalmoe/tests,directory,24,296487,0.000276,1782957488.2016876
opticalmoe/weekly_progress_opticalmoe_2026-06-02.md,file,1,5863,0.000005,1782896161.155422
opticalmoe_experiments,directory,61267,1633150169,1.520990,1783177030.6332262
opticalmoe_experiments/common,directory,84,538594,0.000502,1782957491.6736603
opticalmoe_experiments/data,directory,60009,492372075,0.458557,1786870941.2402787
opticalmoe_experiments/dataset_switching,directory,34,260953,0.000243,1782957491.7256598
opticalmoe_experiments/expert_task_ablation,directory,1,135,0.000000,1782896161.1594222
opticalmoe_experiments/foundation_distillation,directory,882,1138581686,1.060387,1783236212.1247687
opticalmoe_experiments/prompt_ablation,directory,1,196,0.000000,1782896161.1594222
opticalmoe_experiments/README.md,file,1,5795,0.000005,1782896161.155422
opticalmoe_experiments/same_input_multitask,directory,30,192062,0.000179,1782957491.801659
opticalmoe_experiments/scripts,directory,2,6531,0.000006,1782896161.1594222
opticalmoe_experiments/single_task,directory,56,246397,0.000229,1782957491.829659
opticalmoe_experiments/tests,directory,141,749159,0.000698,1783236212.1207688
opticalmoe_experiments/transfer_adaptation,directory,26,196586,0.000183,1782957492.101657
