"path","status","local_sha256","server_sha256"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/13_run_fa_pretrained_pilot.sh","server_only",,"0c069b3ac2a8d865a9724e35e8ea65c4a271992863bc8bf9fee9d0ac26f3a7ce"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/14_run_fa_random_pilot.sh","server_only",,"080b263feed267f0a299f938707674814dc7edaae25ff1575f8f27981e78890e"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/15_compare_formal_pilot.sh","server_only",,"64416b26afc09c4982d852925ca47313313d4b215e1685bb009dc5c1464b355d"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/16_smoke_formal.sh","server_only",,"c39ec4ece4f9ccb10655d3cf42f91639f10c0e4093f49a1d9c39fc8b07e79f5b"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/17_train_a07_high_optical.sh","server_only",,"ca83e159dc42574ce901e01f0fd075dd212a2e27b84d8d52aa6f1fae4e594e8a"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/18_train_a08_pointwise_residual.sh","server_only",,"1e383938e07c7d48d1bea7c41c25a0532e6488f9bcac87ddbc35fe48ab392e39"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/19_train_a09_depthwise_residual.sh","server_only",,"998356c6ef5e2421279a3ce25a10301ee196917849db551948e9dabfa1aa8c18"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/20_train_a10_unet_skips.sh","server_only",,"5cc1fe60bc0630a926a1d66f04c897dafd3fd3e7c8bc7f1fed2361e9cf283bae"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/21_train_a11_conv_readout.sh","server_only",,"a62574f13b4f6e61d31c8994327358428cbd7fc82a4bed9a4591ebafadc064a4"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/22_train_a12_dual_pool_readout.sh","server_only",,"8b10ab7a8594ced8ff18fa0e1278ed20ef0f81a00b89ea0e1b89626e58837128"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/23_evaluate_candidate.sh","server_only",,"1262897fb07b970e65dabbc05e4a85d5eac9d864aceb7c50811c3414b90a2661"
"experiments/d2nn_cifar10_high_performance_optical_backbone/commands/24_train_a13_lowres_residual.sh","server_only",,"2813080016606cd0e27c7166f998d4a57624cb06a705767115aef229d131b006"
