run_id,class_set,shots,support_seed,method,epoch,train_loop_seconds,epoch_wall_seconds,gpu_uuid,foreign_pids
20260909_unseen_formal_a_direct_20shot_s303,a,20,303,direct,3,7.136616878211498,7.251680307090282,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s303,a,20,303,direct,4,7.5047356858849525,7.6269596144557,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_direct_20shot_s303,a,20,303,direct,5,7.423659920692444,7.563927911221981,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s303,a,20,303,qwen_vision_lora,1,16.491445660591125,16.75489353388548,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s303,a,20,303,qwen_vision_lora,2,16.587885290384293,17.025116749107838,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s303,a,20,303,qwen_vision_lora,3,16.0244185552001,16.483593225479126,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s303,a,20,303,qwen_vision_lora,4,16.441604398190975,16.90223566442728,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_a_qwen_vision_lora_20shot_s303,a,20,303,qwen_vision_lora,5,16.07412549853325,16.657605722546577,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_b_direct_5shot_s101,b,5,101,direct,1,7.485391326248646,7.55091118812561,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
20260909_unseen_formal_b_direct_5shot_s101,b,5,101,direct,2,7.475055485963821,7.617409430444241,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,[]
