run_id,epoch,train_loss,train_acc,val_loss,val_acc
cifar10_clip_vitb32_teacher_matched_mlp_probe,33,0.2647668686177995,0.9069444444444444,0.5039022517204285,0.84125
cifar10_clip_vitb32_teacher_matched_mlp_probe,34,0.255208681623141,0.9097222222222222,0.5142468678951263,0.83875
cifar10_clip_vitb32_teacher_matched_mlp_probe,35,0.2545145591431194,0.9094444444444445,0.5000203621387481,0.84625
cifar10_clip_vitb32_teacher_matched_mlp_probe,36,0.25384668939643434,0.9122222222222223,0.5088635969161988,0.84625
cifar10_clip_vitb32_teacher_matched_mlp_probe,37,0.24456327007876502,0.9184722222222222,0.5451748478412628,0.82875
cifar10_clip_vitb32_teacher_matched_mlp_probe,38,0.2429098508755366,0.9134722222222222,0.5125471389293671,0.83875
cifar10_clip_vitb32_teacher_matched_mlp_probe,39,0.23961588773462508,0.915,0.500035697221756,0.84625
cifar10_clip_vitb32_teacher_matched_mlp_probe,40,0.2341956420077218,0.9205555555555556,0.5174466812610626,0.83875
cifar10_clip_vitb32_teacher_matched_mlp_probe,41,0.23286890301439497,0.91875,0.528093090057373,0.84375
cifar10_clip_vitb32_teacher_matched_mlp_probe,42,0.2256471558411916,0.9222222222222223,0.5357941746711731,0.84
cifar10_clip_vitb32_teacher_matched_mlp_probe,43,0.2241803232166502,0.9234722222222222,0.5266403818130493,0.8425
cifar10_clip_vitb32_teacher_matched_mlp_probe,44,0.2205761744081974,0.9226388888888889,0.5214862430095673,0.84
cifar10_clip_vitb32_teacher_matched_mlp_probe,45,0.21495353003342946,0.9261111111111111,0.5463480401039124,0.83875
cifar10_clip_vitb32_teacher_matched_mlp_probe,46,0.21472018281618754,0.9259722222222222,0.5290021061897278,0.8375
cifar10_clip_vitb32_teacher_matched_mlp_probe,47,0.20857070551978218,0.9275,0.5285564172267914,0.84
cifar10_clip_vitb32_teacher_matched_mlp_probe,48,0.20693545427587298,0.9302777777777778,0.567169064283371,0.835
cifar10_clip_vitb32_teacher_matched_mlp_probe,49,0.19850141690837012,0.9320833333333334,0.5877474045753479,0.8325
cifar10_clip_vitb32_teacher_matched_mlp_probe,50,0.2011844990650813,0.93,0.5474881112575531,0.845
cifar10_clip_vitb32_teacher_matched_mlp_probe,51,0.19062927848762937,0.9361111111111111,0.541567153930664,0.8475
cifar10_clip_vitb32_teacher_matched_mlp_probe,52,0.19286678473154703,0.9355555555555556,0.5455815970897675,0.845
