sample_index,sample_id,product_id,label,cuda_ms,host_ms,first_block_calls,first_block_input_shape
30,031f66570132f635,B075HWDSDK,30,24.81929588317871,24.82539415359497,1,"[180, 1024]"
31,067e88b0a8c306dd,B07121RM99,31,25.5532169342041,25.559048634022474,1,"[160, 1024]"
32,1a87b5b92857b756,B075HXJY3Y,32,24.980607986450195,24.986775126308203,1,"[160, 1024]"
33,1673ea7ed4ce8b60,B07BG69MRW,33,25.02342414855957,25.029391050338745,1,"[176, 1024]"
34,005fc98679c71067,B07HK3PTPX,34,24.82099151611328,24.826702196151018,1,"[160, 1024]"
35,0ab5d06d9f256d9d,B014I8UQJY,35,26.03126335144043,26.03692188858986,1,"[160, 1024]"
36,0ae652508b9c4978,B01LP0V4JY,36,24.911903381347656,24.918100330978632,1,"[160, 1024]"
37,17e66563b3ec5916,B07B8PXMTK,37,24.96656036376953,24.972607847303152,1,"[160, 1024]"
38,129d866964f063aa,B01B254OVC,38,24.80191993713379,24.808118119835854,1,"[168, 1024]"
39,032e1e09ddd9265d,B072Z1WN4S,39,24.85411262512207,24.860224686563015,1,"[180, 1024]"
40,377ab4586b109189,B07KR4BT31,40,24.92300796508789,24.928902741521597,1,"[192, 1024]"
41,1102a33a750f5b98,B07YM19Q9K,41,24.88787269592285,24.894644040614367,1,"[168, 1024]"
42,001cf3e6807d7b21,B07DMGM9T6,42,24.810815811157227,24.816648103296757,1,"[168, 1024]"
43,23f7e2c94bb91e6c,B072C8Q4WV,43,24.858367919921875,24.864486884325743,1,"[196, 1024]"
44,0035b7b003966764,B00DUGZFA6,44,24.856319427490234,24.8621660284698,1,"[168, 1024]"
45,0a0de5c1cb78f6b7,B075QBL1TB,45,24.971200942993164,24.977042339742184,1,"[160, 1024]"
46,127f9eb9a8584c4f,B0713T6T4D,46,24.938976287841797,24.944879114627838,1,"[160, 1024]"
47,02efb420f45ce7f0,B074VKVP97,47,24.830976486206055,24.836658965796232,1,"[168, 1024]"
48,13a2276b30b52ffa,B0719SX5P1,48,25.561824798583984,25.568141601979733,1,"[160, 1024]"
49,013947d2180a1413,B07HK3W6ZP,49,41.32499313354492,41.330951265990734,1,"[180, 1024]"
50,08c970babbb14180,B00TOAN83I,50,24.89072036743164,24.896430782973766,1,"[168, 1024]"
51,072f75e430d69fd8,B07PWRJT5R,51,24.825376510620117,24.83165543526411,1,"[168, 1024]"
52,006d47f26b4c6fdf,B07YPRSX86,52,25.593408584594727,25.598977226763964,1,"[168, 1024]"
53,00ec3ee049a63f8d,B07MF1NJ7Q,53,24.967039108276367,24.973685387521982,1,"[160, 1024]"
54,046d7af22b0e1ffb,B07K8F58D7,54,24.839136123657227,24.844910949468613,1,"[160, 1024]"
55,0361803084e87e63,B07VB3TJF3,55,24.933439254760742,24.93937686085701,1,"[160, 1024]"
56,017a8e0aaabe1940,B07WDJS5R1,56,25.4748477935791,25.4807872697711,1,"[160, 1024]"
57,09099bb870f95f46,B07374C6R9,57,24.883840560913086,24.8895650729537,1,"[144, 1024]"
58,067eef5ceda0cea5,B07149T97D,58,24.905216217041016,24.91143671795726,1,"[160, 1024]"
59,006cc8885e15924e,B07K8XX4GJ,59,24.76019287109375,24.766032118350267,1,"[176, 1024]"
60,015cc6874267d3b0,B06X6H2WF7,60,24.91116714477539,24.917193222790956,1,"[160, 1024]"
61,09241bb4ab9dc3e7,B01E3R7GWA,61,24.928672790527344,24.934600573033094,1,"[168, 1024]"
62,20cfa93ea7a1d181,B07124WN22,62,24.87321662902832,24.878619704395533,1,"[168, 1024]"
63,0464a5d85a2ec80d,B0753P16BL,63,24.8951358795166,24.901170749217272,1,"[192, 1024]"
64,07e19d9c3599a37f,B01DN8TB5U,64,24.810367584228516,24.81629326939583,1,"[180, 1024]"
65,057ba8772b089f97,B075YLXVDS,65,25.35830307006836,25.364334229379892,1,"[168, 1024]"
66,000b8e367a4b478f,B074VLQ3GX,66,25.006784439086914,25.01295693218708,1,"[180, 1024]"
67,0631a192e39bc81f,B07VC8B7GP,67,24.98464012145996,24.99054418876767,1,"[160, 1024]"
68,066054c2f525c8ba,B075HWDSC6,68,24.650623321533203,24.656927678734064,1,"[176, 1024]"
69,0bc9efd94e0c2964,B00JM5TTWO,69,25.268543243408203,25.274477899074554,1,"[168, 1024]"
70,0e1e8ae405514aaf,B07MSYK43S,70,24.956512451171875,24.962641298770905,1,"[160, 1024]"
71,0c5415220cd80504,B006ZT4VA0,71,26.20672035217285,26.20193874463439,1,"[192, 1024]"
72,00087fb0d0810491,B0714MJLPX,72,24.787904739379883,24.79387493804097,1,"[160, 1024]"
73,02fa299ff133d3c4,B07BG71L7G,73,25.742656707763672,25.748672429472208,1,"[156, 1024]"
74,01dc8163d8032902,B078H1JC3C,74,25.066816329956055,25.072703137993813,1,"[156, 1024]"
75,0606afff8e164e05,B0735CJJDM,75,24.90959930419922,24.914960842579603,1,"[168, 1024]"
76,0044b188e827c416,B07124WMX5,76,24.85193634033203,24.857936892658472,1,"[180, 1024]"
77,1a034d0d8e312f5b,B07S74D9T7,77,24.909568786621094,24.915185291320086,1,"[168, 1024]"
78,24485e8ba4d73416,B00R3MZITG,78,25.285856246948242,25.29127523303032,1,"[180, 1024]"
79,0338adcc4c540636,B072Y2S76T,79,24.954463958740234,24.96064081788063,1,"[160, 1024]"
80,01a920c82b06e5a8,B0711RQMNF,80,24.98691177368164,24.992865975946188,1,"[168, 1024]"
81,026d9c06d65b5b28,B01MRT550V,81,24.851104736328125,24.85689613968134,1,"[168, 1024]"
82,0196c34671107aee,B00DIHVMEA,82,24.849151611328125,24.854911025613546,1,"[168, 1024]"
83,03eefa33a8d392d7,B018K6NSIG,83,24.90496063232422,24.911222979426384,1,"[160, 1024]"
84,0e35cfa268d61b2f,B07WRBJBGD,84,24.868383407592773,24.874288588762283,1,"[168, 1024]"
85,03063da24993d0f4,B07WMQ8P8Q,85,24.83216094970703,24.838251061737537,1,"[160, 1024]"
86,0c1b62213fc6318e,B075HWDT12,86,39.28239822387695,39.28850498050451,1,"[192, 1024]"
87,07d681c89b6205d4,B073NZGLK3,87,24.934335708618164,24.94033658877015,1,"[160, 1024]"
88,1c31f27bebe55131,B082D177MX,88,25.0993595123291,25.105351116508245,1,"[168, 1024]"
89,0e875786dbaeaacb,B07HPHGGBR,89,24.839263916015625,24.845032021403313,1,"[160, 1024]"
90,052b6258206a887e,B010S9M3L6,90,25.732223510742188,25.738065131008625,1,"[160, 1024]"
91,06b91f3d43a9fbef,B073P1YLMJ,91,42.22604751586914,42.23218699917197,1,"[160, 1024]"
92,11d20cc9fdced135,B07FJP6X9X,92,25.094463348388672,25.10055573657155,1,"[168, 1024]"
93,1a950f506f903f14,B072ZK8897,93,24.993120193481445,24.999321438372135,1,"[168, 1024]"
94,00f85afe07195d40,B071P9WJBT,94,26.04252815246582,26.048237923532724,1,"[160, 1024]"
95,0cb015578514ca66,B07B4W5RF7,95,25.074464797973633,25.08049225434661,1,"[168, 1024]"
96,06191a3743398203,B071ZHY8X9,96,29.828256607055664,29.834197834134102,1,"[168, 1024]"
97,080a2f1d9b63ff5e,B0718ZKQK8,97,25.077760696411133,25.08347202092409,1,"[160, 1024]"
98,063d680f5ea35765,B07124WMZZ,98,26.09244728088379,26.098337955772877,1,"[160, 1024]"
99,05ffcbd5856d75c3,B002CM3J2A,99,25.13884735107422,25.144498329609632,1,"[168, 1024]"
100,19424e6a0eafc021,B017YEAR0C,0,25.121536254882812,25.127589236944914,1,"[160, 1024]"
101,2efcdfbfd36f757c,B00NO73Q84,1,25.057344436645508,25.06332006305456,1,"[156, 1024]"
102,3751cd1a95614b76,B07N6RT9SM,2,25.10438346862793,25.1102140173316,1,"[160, 1024]"
103,1477b6089ccf48ad,B073P17RRM,3,25.0729923248291,25.078102946281433,1,"[168, 1024]"
104,1710783bec4e488f,B07B8PXSGV,4,25.057247161865234,25.063454173505306,1,"[180, 1024]"
105,1d54bf0d3803a62e,B07QWC7NYS,5,25.568639755249023,25.554681196808815,1,"[168, 1024]"
106,19d85f786715e46d,B084HV7BDJ,6,24.95964813232422,24.965413846075535,1,"[180, 1024]"
107,0f23792b72929e3c,B00TS18AEA,7,25.873119354248047,25.878993328660727,1,"[160, 1024]"
108,118b8be014a9b6ff,B07TQ89MMN,8,25.073951721191406,25.08007874712348,1,"[168, 1024]"
109,142329c20618a063,B0719SNKSY,9,24.968799591064453,24.974956177175045,1,"[180, 1024]"
110,1fd2fef608c4649e,B073WQ8JLT,10,25.046335220336914,25.0523267313838,1,"[160, 1024]"
111,07e084a712fa5078,B073G7BVBP,11,25.22969627380371,25.23559471592307,1,"[180, 1024]"
112,08d5e31296812b25,B08G1TN3Y8,12,25.127552032470703,25.133704766631126,1,"[160, 1024]"
113,197a86eb2a9b43e6,B07HSGP5PS,13,25.04265594482422,25.04836581647396,1,"[144, 1024]"
114,2071786bea2d8d21,B079V3YHVF,14,25.11884880065918,25.12468583881855,1,"[160, 1024]"
115,377bd111f508daac,B07B8K1DL3,15,25.035167694091797,25.040759705007076,1,"[144, 1024]"
116,04446239fa5119b3,B07WFNW48N,16,25.618911743164062,25.62443120405078,1,"[168, 1024]"
117,0e611ebe2fdafa29,B074KKMQBG,17,24.954816818237305,24.96068412438035,1,"[168, 1024]"
118,0db1e437d2fbb991,B075HXHKTZ,18,24.93712043762207,24.943212047219276,1,"[180, 1024]"
119,28c324484ebc22b2,B00F5CKWBA,19,25.147968292236328,25.153499096632004,1,"[160, 1024]"
120,23587b1c3ae9d952,B082L6MDHT,20,25.052448272705078,25.05862805992365,1,"[160, 1024]"
121,0d54790d86c59ed1,B079L7YJBB,21,25.14668846130371,25.152654852718115,1,"[192, 1024]"
122,1d35fea59abfa4c5,B00EUL2B16,22,25.16022491455078,25.166253093630075,1,"[160, 1024]"
123,0cb41710ca1f72b0,B07B8NSY3Z,23,24.969440460205078,24.975331034511328,1,"[168, 1024]"
124,0745579eced92032,B07DBDSGD6,24,25.15395164489746,25.159996934235096,1,"[180, 1024]"
125,0efe6a8e210fc428,B00MIBN16O,25,25.458784103393555,25.464685633778572,1,"[160, 1024]"
126,0a1a09820cefafc8,B014RWWURC,26,25.067359924316406,25.07324004545808,1,"[160, 1024]"
127,13c08828417301dc,B073P1JNWZ,27,25.029407501220703,25.035362225025892,1,"[192, 1024]"
128,1015e6d71d7ac790,B07XKGLMR8,28,25.147167205810547,25.153169874101877,1,"[168, 1024]"
129,144c147d6f11253a,B075X41RLD,29,25.513376235961914,25.519464164972305,1,"[180, 1024]"
130,0413ebf2ca46e7fc,B075HWDSDK,30,25.097536087036133,25.103380903601646,1,"[180, 1024]"
131,111210e0d1734476,B07121RM99,31,25.213279724121094,25.21943487226963,1,"[160, 1024]"
132,1fa4647a0c5edec6,B075HXJY3Y,32,25.02787208557129,25.033873040229082,1,"[160, 1024]"
133,2f92ca0835ff5cc4,B07BG69MRW,33,24.984479904174805,24.990492966026068,1,"[176, 1024]"
134,0223c66b0970ec22,B07HK3PTPX,34,25.444128036499023,25.450263172388077,1,"[160, 1024]"
135,15d70075d869d398,B014I8UQJY,35,25.048864364624023,25.05453396588564,1,"[160, 1024]"
136,1b458ed46c9f6783,B01LP0V4JY,36,25.050399780273438,25.075737852603197,1,"[160, 1024]"
137,1b5393639eee5883,B07B8PXMTK,37,25.113216400146484,25.11957800015807,1,"[160, 1024]"
138,16ceeea1fec8db1a,B01B254OVC,38,25.906400680541992,25.913639925420284,1,"[168, 1024]"
139,1bfaa248ac7219df,B072Z1WN4S,39,25.113887786865234,25.119622703641653,1,"[180, 1024]"
140,38cbb1e33470b8c9,B07KR4BT31,40,25.096256256103516,25.10230289772153,1,"[192, 1024]"
141,15617ee096083678,B07YM19Q9K,41,24.935935974121094,24.941804818809032,1,"[168, 1024]"
