host_time_unix,host_monotonic_s,phase,watts
1788739103.1771321,2219345.079874777,idle,67.99
1788739103.1872005,2219345.089943281,idle,67.99
1788739103.1972718,2219345.100014489,idle,67.99
1788739103.2073367,2219345.110079347,idle,67.99
1788739103.2174368,2219345.120179496,idle,67.99
1788739103.2276094,2219345.130352205,idle,67.99
1788739103.2376215,2219345.140364216,idle,67.99
1788739103.2476864,2219345.150429261,idle,67.99
1788739103.2577558,2219345.160498585,idle,67.99
1788739103.2678254,2219345.170568041,idle,67.99
1788739103.2778935,2219345.180636302,idle,67.99
1788739103.287963,2219345.190705605,idle,67.99
1788739103.298031,2219345.200773743,idle,67.99
1788739103.3080988,2219345.210841394,idle,67.99
1788739103.3181672,2219345.220910054,idle,67.99
1788739103.3282416,2219345.230984329,idle,67.99
1788739103.3383043,2219345.241047052,idle,67.99
1788739103.348372,2219345.251114799,idle,67.99
1788739103.358546,2219345.261288635,idle,67.99
1788739103.3686624,2219345.271405281,idle,67.99
1788739103.3786893,2219345.281432016,idle,67.99
1788739103.3887572,2219345.291500113,idle,67.99
1788739103.398826,2219345.301568885,idle,67.99
1788739103.4088943,2219345.311636996,idle,67.99
1788739103.4189634,2219345.321706236,idle,67.99
1788739103.4290302,2219345.331772933,idle,67.99
1788739103.4390986,2219345.34184137,idle,67.99
1788739103.4491665,2219345.351909538,idle,67.99
1788739103.459237,2219345.361979993,idle,67.99
1788739103.4693067,2219345.372049229,idle,67.99
1788739103.4793756,2219345.3821182,idle,67.99
1788739103.489445,2219345.39218758,idle,67.99
1788739103.499602,2219345.402345092,idle,67.99
1788739103.5096047,2219345.412347434,idle,67.99
1788739103.5196722,2219345.422414677,idle,67.99
1788739103.5297413,2219345.432483881,idle,67.99
1788739103.5398092,2219345.442552005,idle,67.99
1788739103.54988,2219345.452622777,idle,67.99
1788739103.5599484,2219345.462691124,idle,67.99
1788739103.5700178,2219345.472760587,idle,68.11
1788739103.580087,2219345.48282993,idle,68.11
1788739103.5901558,2219345.492898354,idle,68.11
1788739103.600229,2219345.502971838,idle,68.11
1788739103.6102967,2219345.513039521,idle,68.11
1788739103.6203668,2219345.523109459,idle,68.11
1788739103.6304471,2219345.533189908,idle,68.11
1788739103.6406476,2219345.543390906,idle,68.11
1788739103.650701,2219345.553443958,idle,68.11
1788739103.660766,2219345.563508632,idle,68.11
1788739103.6708333,2219345.57357627,idle,68.11
1788739103.6809015,2219345.583644305,idle,68.11
1788739103.6909704,2219345.593713121,idle,68.11
1788739103.7010396,2219345.603782364,idle,68.11
1788739103.7111082,2219345.613850875,idle,68.11
1788739103.7211778,2219345.623920482,idle,68.11
1788739103.7312462,2219345.633988989,idle,68.11
1788739103.7412965,2219345.644039249,idle,68.11
1788739103.75137,2219345.654112909,idle,68.11
1788739103.7614396,2219345.66418222,idle,68.11
1788739103.7715096,2219345.67425251,idle,68.11
1788739103.781577,2219345.684319943,idle,68.11
1788739103.7916462,2219345.694388806,idle,68.11
1788739103.8017163,2219345.704458854,idle,68.11
1788739103.811783,2219345.714525933,idle,68.11
1788739103.8218515,2219345.724594162,idle,68.11
1788739103.8319411,2219345.734683836,idle,68.11
1788739103.842047,2219345.744789976,idle,68.11
1788739103.8520966,2219345.754839332,idle,68.11
1788739103.8621652,2219345.764907866,idle,68.11
1788739103.8722334,2219345.774976222,idle,68.11
1788739103.8823311,2219345.785073748,idle,68.11
1788739103.8924086,2219345.795151217,idle,68.11
1788739103.9024773,2219345.805219988,idle,68.11
1788739103.9125443,2219345.815287258,idle,68.11
